,title,director,cast,listed_in,description,lower
2365,Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar, Danny Denzongpa, Om Puri, Kulbhushan Kharbanda, Farida Jalal, Shivaji Satham","Action & Adventure, Dramas, International Movies",notori terrorist manipul indian armi major jilt lover help obtain classifi militari code,pukar
2366,Rahasya,Manish Gupta,"Kay Kay Menon, Ashish Vidyarthi, Tisca Chopra, Mita Vashisht, Bikramjeet Kanwarpal, Ashwini Kalsekar, Kunal Sharma, Nimai Bali","Dramas, International Movies",murder teenag girl dead bedroom open twist investig lead dark murki labyrinth secret lie,rahasya
2367,Run,Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar, Vijay Raaz, Mukesh Rishi, Ayesha Jhulka, Anjan Srivastav, Goga Kapoor, Mukul Agarwal, Shweta Menon","Action & Adventure, International Movies, Music & Musicals",siddharth fall love beauti jhanvi jhanvi brother ganpat overli possess – determin destroy relationship,run
2368,Samarppanam,K. Gopinathan,"Virginia Rodriguez, Anil Nedumangad, Santhosh Keezhattoor, Indrans, P. Balachandran, Renji Panicker, Gopalan","Dramas, International Movies",young girl kill suspici train accid differ live intertwin quest answer,samarppanam
2369,Schubert In Love,Lars Büchel,"Olaf Schubert, Mario Adorf, Marie Leuenberger, Jochen Barkas, Bert Stephan, Martina Hill, Christoph Jungmann, Luise Wolfram, Hildegard Schroedter, Imke Buchel","Comedies, International Movies",famili line olaf schubert doesnt time girlfriend duti search father demand offspr,schubert in love
2370,Shakti: The Power,Krishna Vamshi,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shah Rukh Khan, Deepti Naval, Vijay Raaz, Tiku Talsania, Jaspal Bhatti, Divya Dutta, Prakash Raj","Dramas, International Movies, Thrillers",young mother break free clutch husband feudal famili bring young child safeti,shakti: the power
2371,Shanghai,Dibakar Banerjee,"Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin, Supriya Pathak, Tillotama Shome, Anant Jog, Pitobash, Farooq Shaikh, Arvind Goswami","Dramas, Independent Movies, International Movies",dispar charact uncov govern corrupt small indian town receiv influx foreign money turn shanghai,shanghai
2372,Shararat,Gurudev Bhalla,"Abhishek Bachchan, Hrishitaa Bhatt, Amrish Puri, Mohnish Bahl, Helen, Om Puri, Ashish Vidyarthi, A.K. Hangal, Tinnu Anand, Daisy Irani, Dara Singh, Viju Khote, Shubha Khote","Comedies, International Movies, Music & Musicals",unabl bribe way reckless drive charg arrog rich kid sentenc commun servic home senior citizen,shararat
2373,Shaurya: It Takes Courage to Make Right... Right,Samar Khan,"Rahul Bose, Javed Jaffrey, Minissha Lamba, Seema Biswas, Deepak Dobriyal, Kay Kay Menon, Amrita Rao, Rosa Catalano, Subrat Dutta, Priyesh Kaushik","Dramas, International Movies",courtroom intrigu play backdrop militari secret bollywood drama plot that reminisc good men,shaurya: it takes courage to make right... right
2374,Shubh Aarambh,Amit Barot,"Harsh Chhaya, Prachi Shah, Bharat Chawda, Deeksha Joshi, Aarjav Trivedi, Prashant Barot, Harsha Bhavsar","Dramas, International Movies, Romantic Movies",wed loom horizon marriag counselor strive save futur inlaw crumbl relationship,shubh aarambh
2375,Shuddhi,Adarsh Eshwarappa,"Lauren Spartano, Niveditha, Amrutha Karagada, Shashank Purushotham, Sidhartha Maadhyamika, Ajay Raj, Sanchari Vijay, Veena Sundar","Dramas, International Movies, Thrillers",american woman reveng mission travel india befriend journalist seek justic violent crime women,shuddhi
2376,Solo,Bejoy Nambiar,"Dulquer Salmaan, Nassar, Sruthi Hariharan, Dhansika, Anson Paul, Neha Sharma","Dramas, International Movies",dispar live – gangster student veterinarian soldier – evoc connect element earth wind water,solo
2377,Something Huge,Carlo Padial,"Berto Romero, Carolina Bang, Javier Botet, Carlos Areces, Miguel Noguera, Toni Sevilla","Comedies, Independent Movies, International Movies",director comedian want shoot comedi futur cinema histori soon run resourc run mission creep,something huge
2378,Super Nani,Indra Kumar,"Rekha, Randhir Kapoor, Sharman Joshi, Anupam Kher, Shweta Kumar, Varsha Usgaonkar, Rajesh Kumar, Shreya Narayan","Comedies, Dramas, International Movies",love concern american grandson travel mumbai rescu unappreci grandmoth drudgeri fulfil true potenti,super nani
2379,Swades,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Balal, Smith Seth, Lekh Tandon, Rajesh Vivek, Daya Shankar Pandey, Farrukh Jaffar","Dramas, International Movies",american nasa scientist return nativ india busi trip search nanni help rais,swades
2380,Swearnet Live,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Leigh MacInnis, Luke Gordon","Comedies, International Movies",trailer park boy john paul tremblay robb well mike smith host foulmouth live kickoff webbas swearnet network,swearnet live
2381,Taal,Subhash Ghai,"Anil Kapoor, Aishwarya Rai Bachchan, Akshaye Khanna, Amrish Puri, Alok Nath, Mita Vasisht, Saurabh Shukla, Supriya Karnik","Dramas, International Movies, Music & Musicals",businessman manav fall aspir singer mansi romanc face uphil climb manav depart mansi suav manag move,taal
2382,Tarif de nuit,Julien Seri,"Jonathan Howard, Jonathan Demurger, Fanny Valette, Jess Liaudin","International Movies, Thrillers",night pari quickli unravel friend provok wrong taxi driver who bigger cab fare,tarif de nuit
2383,Teen Patti,Leena Yadav,"Amitabh Bachchan, Madhavan, Ben Kingsley, Shraddha Kapoor, Siddharth Kher, Dhruv Ganesh, Vaibhav Talwar","Dramas, International Movies, Thrillers",luck bring math expert perci trachtenberg obscur geniu venkat subramaniam casino foundat probabl utterli alter chat lead subramaniam tri new theori gambl den mumbai,teen patti
2384,The Pirates of Somalia,Bryan Buckley,"Evan Peters, Barkhad Abdi, Melanie Griffith, Al Pacino, Philip Ettinger, Sabrina Hassan Abdulle, Kiana Madani, Abdi Sidow Farah, Mohamed Barre, Armaan Haggio",Dramas,aspir journalist travel somalia hope make cover danger pirat hijack,the pirates of somalia
2385,The Plan,Keerthi,"Anant Nag, Koustubh Jayakumar, Hemanth, Shreeram, Jay, Sanath, Pramod Shetty, Harish Roy","Dramas, International Movies, Thrillers",sent remot prison young men suffer watch eye jailer meticul plan escap,the plan
2386,The Shaukeens,Abhishek Sharma,"Akshay Kumar, Annu Kapoor, Piyush Mishra, Lisa Haydon, Anupam Kher","Comedies, International Movies, Music & Musicals",sexual frustrat men 60 adventur lifetim meet intrigu young woman holiday mauritiu,the shaukeens
2387,The Silence,Gajendra Ahire,"Raghuvir Yadav, Nagraj Manjule, Anjali Patil, Kadambari Kadam, Mugdha Chaphekar, Vedashree Mahajan, Mihiresh Joshi","Dramas, International Movies",train mumbai 20someth chini wit horrif attack trigger memori dark chapter youth base true stori,the silence
2388,The Silence,Gajendra Ahire,"Raghuvir Yadav, Nagraj Manjule, Anjali Patil, Kadambari Kadam, Mihiresh Joshi, Mugdha Chaphekar, Vedashree Mahajan","Dramas, International Movies",encount scene sexual violenc woman forc confront traumat experi abus shape life,the silence
2389,Tope: The Bait,Buddhadev Dasgupta,"Sudipto Chattopadhyay, Chandan Roy Sanyal, Kajal Kumari, Ananya Chatterjee, Paoli Dam, Malobika Banerjee, Pawan Kanodia","Dramas, Independent Movies, International Movies",tale eccentr aristocrat tightrop walk nomad postmanturnedsoothsay unspool visual poem rural life india,tope: the bait
2390,Trailer Park Boys Live at the North Pole,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Jacob Rolfe, Marguerite McNeil, Doug Barron, Paul Doucette, Gareth Meagher",Movies,bubbless plan spread true mean christma dash julian wish cash holiday ricki quest meet real santa,trailer park boys live at the north pole
2391,Trailer Park Boys Live In F**kin' Dublin,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, Pat Roach",Movies,boy head ireland win contest rush arrest immigr perform commun servic puppet,trailer park boys live in f**kin' dublin
2392,Trailer Park Boys: Say Goodnight to the Bad Guys,Mike Clattenburg,"John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Jeanna Harrison, Shelley Thompson, Tyrone Parsons","Comedies, Cult Movies",year season 7 final boy pois live good life old enemi throw wrench thing,trailer park boys: say goodnight to the bad guys
2393,Trailer Park Boys: Xmas Special,Mike Clattenburg,"John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Cory Bowles, Barrie Dunn, Michael Jackson, Shelley Thompson",Movies,sunnyval trailer park like day featur randi prostitut jroc rap barb lahey,trailer park boys: xmas special
2394,Trimurti,Mukul Anand,"Anil Kapoor, Shah Rukh Khan, Jackie Shroff, Satyendra Kapoor, Gautami, Tinnu Anand, Saeed Jaffrey, Anirudh Agarwal, Mohan Agashe, Himani Shivpuri, Priya Tendulkar, Anjali Jathar, Anang Desai, Pramod Moutho, Subhash Ghai","Action & Adventure, Dramas, International Movies",frame policewoman languish prison hope son deliv justic restor honor,trimurti
2395,True to the Game,Preston A. Whitmore II,"Columbus Short, Erica Peeples, Vivica A. Fox, Andra Fuller, Jamaar Simon, Starletta DuPois, Nelsan Ellis, Draya Michele, Nafessa Williams, Jennifer Freeman, Lisa Renee Pitts",Dramas,drug kingpin look legit fall philadelphia colleg student doesnt long danger world bleed life,true to the game
2396,Tu Hai Mera Sunday,Milind Dhaimade,"Barun Sobti, Shahana Goswami, Vishal Malhotra, Avinash Tiwary, Rasika Dugal, Maanvi Gagroo, Nakul Bhalla, Jay Upadhyay","Comedies, Independent Movies, International Movies",sunday soccer game beach cancel friend set place play noisi crowd citi mumbai,tu hai mera sunday
2397,Welcome 2 Karachi,Ashish R. Mohan,"Arshad Warsi, Jacky Bhagnani, Lauren Gottlieb, Dalip Tahil, Pavan Malhotra, Ayub Khoso, Adnan Shah","Comedies, International Movies",deni visa dim indian men decid sneak america boat fate leav strand beach – karachi pakistan,welcome 2 karachi
2398,Y.M.I.: Yeh Mera India,N. Chandra,"Anupam Kher, Atul Kulkarni, Aakash Pandey, Milind Gunaji, Perizaad Zorabian, Smiley Suri, Parvin Dabas, Rajit Kapoor, Purab Kohli, Rajpal Yadav, Sarika, Sayaji Shinde, Seema Biswas, Vijay Raaz, Ashwin Mushran, Veerendra Saxena, Siddhant Karnick","Dramas, Independent Movies, International Movies",live middleag soap opera addict ambiti career woman fervent activist differ walk indian life intersect mumbai vibrant melt pot threaten bubbl bia bigotri,y.m.i.: yeh mera india
2399,Yaadein,Subhash Ghai,"Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri, Kiran Rathod, Rati Agnihotri, Supriya Karnik, Anang Desai","Dramas, International Movies, Romantic Movies",young lover set overcom obstacl stand way marriag begin object girl father,yaadein
2400,Yuva,Mani Ratnam,"Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Esha Deol, Kareena Kapoor, Rani Mukerji, Loveleen Mishra, Anant Nag, Om Puri, Vijay Raaz, Sonu Sood","Dramas, International Movies",accid bridg tie young men differ social class spark cours event forev alter live,yuva
2401,9 Months That Made You,,Demetri Goritsas,"British TV Shows, Docuseries, Science & Nature TV",wit wonder human gestat cuttingedg cgi learn month insid womb affect aspect one life,9 months that made you
2402,Beak & Brain: Genius Birds From Down Under,"Volker Arzt, Angelika Sigl",,"Documentaries, International Movies",came term bird brain met feather thinker use claw beak solv puzzl tool,beak & brain: genius birds from down under
2403,Beary Tales,,,"Children & Family Movies, Documentaries, International Movies",wellknown wildlif photograph live bohemian forest find play mama bear pair abandon cub,beary tales
2404,Chandani: The Daughter of the Elephant Whisperer,Arne Birkenstock,K.G. Chandani Renuka Ratnayake,"Documentaries, International Movies",girl want eleph driver like father given chanc rais calf determin taken away,chandani: the daughter of the elephant whisperer
2405,Earth's Natural Wonders,,Olivia Colman,"British TV Shows, Docuseries, Science & Nature TV",earth sublim landscap forbid discov inhabit surviv flourish planet harshest environ,earth's natural wonders
2406,Forces of Nature,,,"British TV Shows, Docuseries, Science & Nature TV",dynam seri span globe explain complex natur forc govern planet shape color motion element,forces of nature
2407,India: Nature's Wonderland,,"Liz Bonnin, Jon Gupta, Freida Pinto","British TV Shows, Docuseries, Science & Nature TV",wildlif biologist liz bonnin explor natur wonder india seri reveal speci cultur uniqu ancient land,india: nature's wonderland
2408,Islands of the Future,,,"Docuseries, International TV Shows, Science & Nature TV",amid rise oil ga price dwindl resourc tini island coast europ rethink futur energi,islands of the future
2409,Koko: The Gorilla Who Talks,Jonathan Taylor,Demetri Goritsas,Documentaries,wit incred decadeslong friendship koko gorilla penni patterson taught koko commun sign languag,koko: the gorilla who talks
2410,Love Is in the Air,,"Murat Ünalmış, Birce Akalay, Selen Soyder, Erman Okay, Kanbolat Gorkem Arslan, Levent Yilmaz, Aysegül Günay, Selma Kutluğ, Ulvi Alacakaptan, İpek Erdem, Yilmaz Calayir, Isil Yücesoy","International TV Shows, TV Dramas",toprak lost babi hire wet nurs wealthi yusuf motherless son yusuf drawn toprak scheme sister,love is in the air
2411,My Honor Was Loyalty,Alessandro Pepe,"Leone Frisa, Paolo Vaccarino, Francesco Migliore, Albrecht Weimer, Giulia Dichiaro, Alessandra Oriti Niosi, Andreas Segeritz",Dramas,amid chao horror world war ii commit german soldier fight privat battl conscienc,my honor was loyalty
2412,NATURE: Natural Born Hustlers,,Kevin Draine,"Docuseries, Science & Nature TV",shadi way surviv fact sneaki anim hustler – includ orca owl otter – use advantag,nature: natural born hustlers
2413,Nature: Raising the Dinosaur Giant,,David Attenborough,Documentaries,sir david attenborough examin recent discov collect dinosaur fossil cgi 3d scan reveal beast look like,nature: raising the dinosaur giant
2414,Nila,Selvamani Selvaraj,"Sruthi Hariharan, Vicky R","Dramas, International Movies, Romantic Movies",cabbi chanc childhood sweetheart tri rekindl old feel find matur love complic matter,nila
2415,Revelations,Vijay Jayapal,"Chetan, Lakshmi Priyaa Chandramouli, Anantharam Karthik, Arpita Banerjee","Dramas, International Movies",year husband wife entangl secret sexual charg relationship threaten unravel marriag,revelations
2416,Servant of the People,,"Vladimir Zelenskiy, Natalya Sumskaya, Viktor Saraykin, Stanislav Boklan, Ekaterina Kisten, Anna Koshmal, Yelena Kravets, Aleksandr Pikalov, Evgeniy Koshevoy, Yuri Krapov","International TV Shows, TV Comedies",ukrainian high school teacher tirad govern corrupt goe viral social media find countri new presid,servant of the people
2417,SuperNature: Wild Flyers,,,"British TV Shows, Docuseries, Science & Nature TV",seri examin aerodynam flight evolutionari process enabl certain speci surviv take sky,supernature: wild flyers
2418,Sustainable,Matt Wechsler,,Documentaries,chef rick bayless farmer discuss histori lead sustain food movement chang eat futur,sustainable
2419,Tiger,Hernán Belón,"Leonardo Sbaraglia, Eva De Dominici, Erica Banchi, Osmar Nuñez, Claudio Rissi, Erica Farías, Pablo Paoliello, Diego Chavez","Dramas, International Movies, Sports Movies",age boxer ramón regain vital meet fierc young boxer deborah unbridl passion caus forsak,tiger
2420,Tong: Memories,,"Lee Hak Joo, Ji-an Kim, Jae-yoon Lee, Heo Ji Won, Yang Hak Jin, Choi Yeong Min","International TV Shows, Korean TV Shows, TV Action & Adventure",tough young man short temper patienc bulli gain legendari reput best street fighter busan,tong: memories
2421,Ugly,Anurag Kashyap,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla, Siddhant Kapoor, Girish Kulkarni, Abir Goswami, Madhavi Singh, Anshikaa Shrivastava, Murari Kumar, Sandesh Jadhav","Dramas, International Movies, Thrillers",10yearold goe miss father actor audit girl stepfath – mumbai polic chief – lead search,ugly
2422,Vikings Unearthed,Harvey Lilley,Eric Meyers,Documentaries,archaeologist sarah parcak follow clue earli vike explor discuss notori fierc warrior like,vikings unearthed
2423,Blue Mountain State: The Rise of Thadland,Lev L. Spiro,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",Comedies,new nfl star thad buy old teammat belov frat hous renam thadland throw raunchiest debauch parti school histori,blue mountain state: the rise of thadland
2424,Hot Bot,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson, Anthony Anderson, David Shackelford, Donald Faison, Angela Kinsey, Kirby Bliss Blanton, John Robinson",Comedies,teenag geek inadvert lifelik stateoftheart sex robot dodg highprofil owner lost order,hot bot
2425,It's Now or Never,Maria Ripoll,"Dani Rovira, María Valverde, Jordi Sánchez, Joaquín Núñez, Alicia Rubio, Clara Lago, Anna Gras, Gracia Olayo, Melody, Marta Pérez","Comedies, International Movies, Romantic Movies",eva alex decid wed england met year earlier obstacl includ labor strike volcano apart,it's now or never
